pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
35.25,66.4125,90.0,top,R620,RT0805FRE10750RL,,R_0805_2012Metric,750R,smt
35.25,37.9125,90.0,top,R621,RT0805FRE10750RL,,R_0805_2012Metric,750R,smt
39.25,98.5,180.0,top,R622,CRCW06031K00FKEE,,R_0603_1608Metric,1k,smt
39.175,94.0,180.0,top,R623,CRCW06031K00FKEE,,R_0603_1608Metric,1k,smt
38.925,70.5,180.0,top,R624,CRCW06031K00FKEE,,R_0603_1608Metric,1k,smt
38.925,65.5,180.0,top,R625,CRCW06031K00FKEE,,R_0603_1608Metric,1k,smt
39.0,42.0,180.0,top,R626,CRCW06031K00FKEE,,R_0603_1608Metric,1k,smt
39.0,37.0,180.0,top,R627,CRCW06031K00FKEE,,R_0603_1608Metric,1k,smt
56.5,33.7,180.0,top,R628,ERJ-PA3F2001V,,R_0603_1608Metric,2k,smt
75.975,33.1,180.0,top,R629,ERJ-PA3F2001V,,R_0603_1608Metric,2k,smt
95.675,33.0,180.0,top,R630,ERJ-PA3F2001V,,R_0603_1608Metric,2k,smt
66.4,67.825,-90.0,top,R631,ESR03EZPF33R0,,R_0603_1608Metric,33R,smt
68.05,67.85,-90.0,top,R632,ESR03EZPF33R0,,R_0603_1608Metric,33R,smt
69.65,67.825,-90.0,top,R633,ESR03EZPF33R0,,R_0603_1608Metric,33R,smt
71.25,67.825,-90.0,top,R634,ESR03EZPF33R0,,R_0603_1608Metric,33R,smt
74.1,64.7,180.0,top,R635,ESR03EZPF33R0,,R_0603_1608Metric,33R,smt
64.399999,70.850551,-90.0,top,R636,ESR03EZPF33R0,,R_0603_1608Metric,33R,smt
74.1,69.5,0.0,top,R637,CRCW060310K0FKEI,,R_0603_1608Metric,10k,smt
74.1,66.3,0.0,top,R638,CRCW0603100KFKEE,,R_0603_1608Metric,100k,smt
76.6,65.5,90.0,top,R639,CRCW0603100KFKEE,,R_0603_1608Metric,100k,smt
190.0,43.339999,90.0,top,R701,SFR01MZPF1200,,R_0402_1005Metric,120R,smt
121.5,93.24,90.0,top,R801,RC0402FR-7D33RL,,R_0402_1005Metric,33R,smt
119.5,93.24,90.0,top,R802,RC0402FR-7D33RL,,R_0402_1005Metric,33R,smt
122.5,91.0,90.0,top,R803,ERJ-PA2F1002X,,R_0402_1005Metric,10k,smt
124.25,93.24,90.0,top,R804,RC0402FR-7D33RL,,R_0402_1005Metric,33R,smt
129.0,96.75,180.0,top,R805,RC0402FR-7D33RL,,R_0402_1005Metric,33R,smt
120.5,93.24,-90.0,top,R806,ERJ-PA2F1002X,,R_0402_1005Metric,10k,smt
118.5,93.24,-90.0,top,R807,ERJ-PA2F1002X,,R_0402_1005Metric,10k,smt
123.25,93.24,-90.0,top,R808,ERJ-PA2F1002X,,R_0402_1005Metric,10k,smt
125.5,93.24,-90.0,top,R809,RT73F1J1K5BTD,,R_0402_1005Metric,1k5,smt
129.0,97.75,0.0,top,R810,ERJ-PA2F1002X,,R_0402_1005Metric,10k,smt
121.75,105.76,90.0,top,R811,M55342K11B49D9RS2,,R_0402_1005Metric,49R9,smt
120.5,106.76,90.0,top,R812,M55342K11B49D9RS2,,R_0402_1005Metric,49R9,smt
124.5,102.76,90.0,top,R813,M55342K11B49D9RS2,,R_0402_1005Metric,49R9,smt
118.0,104.825,90.0,top,R814,ERJ-P03F1212V,,R_0603_1608Metric,12k1,smt
123.0,104.0,90.0,top,R815,M55342K11B49D9RS2,,R_0402_1005Metric,49R9,smt
160.5,109.0,180.0,bottom,R816,ERJ-PA2F1002X,,R_0402_1005Metric,10k,smt
148.5,106.5,90.0,bottom,R817,ERJ-PA2F1002X,,R_0402_1005Metric,10k,smt
142.0,104.675,90.0,bottom,R818,CRGH0603F270R,,R_0603_1608Metric,270R,smt
154.75,111.75,-90.0,bottom,R819,CRGH0603F270R,,R_0603_1608Metric,270R,smt
114.675,100.5,0.0,top,R820,CRCW06030000Z0EI,,R_0603_1608Metric,0R,smt
91.5,60.0,-90.0,top,R901,RC0402FR-7D47KL,,R_0402_1005Metric,47k,smt
94.5,60.01,-90.0,top,R902,RC0402FR-7D47KL,,R_0402_1005Metric,47k,smt
96.24,61.75,0.0,top,R903,RC0402FR-7D47KL,,R_0402_1005Metric,47k,smt
87.5,55.01,-90.0,top,R904,RC0402FR-7D47KL,,R_0402_1005Metric,47k,smt
87.5,52.5,90.0,top,R905,RC0402FR-7D47KL,,R_0402_1005Metric,47k,smt
87.5,58.175,-90.0,top,R906,RC0402FR-7D47KL,,R_0402_1005Metric,47k,smt
98.76,62.0,180.0,top,R907,RC0402FR-7D47KL,,R_0402_1005Metric,47k,smt
100.25,60.75,0.0,top,R908,RC0402FR-7D47KL,,R_0402_1005Metric,47k,smt
104.5,46.175,-90.0,bottom,R909,RC0402FR-7D47KL,,R_0402_1005Metric,47k,smt
100.75,43.0,0.0,top,R910,ERJ-PA2F1002X,,R_0402_1005Metric,10k,smt
90.25,60.0,-90.0,top,R911,RC0402FR-7D22RL,,R_0402_1005Metric,22R,smt
93.25,60.01,-90.0,top,R912,RC0402FR-7D22RL,,R_0402_1005Metric,22R,smt
96.25,60.0,-90.0,top,R913,RC0402FR-7D22RL ,,R_0402_1005Metric,22R,smt
88.75,55.0,-90.0,top,R914,RC0402FR-7D22RL ,,R_0402_1005Metric,22R,smt
88.75,52.5,90.0,top,R915,RC0402FR-7D22RL ,,R_0402_1005Metric,22R,smt
88.75,58.175,-90.0,top,R916,RC0402FR-7D22RL ,,R_0402_1005Metric,22R,smt
97.5,60.0,-90.0,top,R917,RC0402FR-7D22RL ,,R_0402_1005Metric,22R,smt
99.26,59.5,180.0,top,R918,RC0402FR-7D22RL ,,R_0402_1005Metric,22R,smt
104.25,49.0,180.0,top,R919,RC0402FR-7D22RL ,,R_0402_1005Metric,22R,smt
98.5,43.0,180.0,top,R920,RC0402FR-7D22RL ,,R_0402_1005Metric,22R,smt
104.5,34.675,90.0,top,R921,RC0402FR-7D47KL,,R_0402_1005Metric,47k,smt
106.0,45.925,90.0,bottom,R922,CRCW06030000Z0EI,,R_0603_1608Metric,0R,smt
75.25,57.75,180.0,top,SW401,RS282G05A3SMRT,,SW_SPST_CK_RS282G05A3,SW_Push,smt
75.25,44.0,180.0,top,SW402,RS282G05A3SMRT,,SW_SPST_CK_RS282G05A3,SW_Push,smt
57.0125,98.975,90.0,top,U201,TCPP01-M12,,TCPP01-M12-QFN-12L,TCPP01-M12,smt
74.6125,94.5,180.0,top,U202,STEF05SGR,,STEF05SGR-TSOT23-8L,STEF05SGR,smt
74.0075,101.625,-90.0,top,U203,USBLC6-2P6,,USBLC62P6-SOT666-6,USBLC6-2P6,smt
73.075,83.825,90.0,top,U301,ST1PS02CQTR,,ST1PS02CQTR,ST1PS02CQTR,smt
60.7125,83.625,90.0,top,U302,ST1PS02CQTR,,ST1PS02CQTR,ST1PS02CQTR,smt
79.55,75.95,180.0,top,U303,LDLN025M12R,,LDLN025M12R-SOT-23-5,LDLN025M12R,smt
33.8,14.3,0.0,top,U304,LM2664M6/NOPB,,LM2664M6_NOPB-SOT-23-6,LM2664M6_NOPB,smt
123.25,64.262,180.0,top,U401,STM32H745ZGT6,,STM32H745ZGT6_LQFP144,STM32H745ZGT6,smt
116.5,7.75,180.0,top,U501,BLUENRG-M2SA,,BLUENRG-M2SA,BLUENRG-M2SA,smt
53.949999,25.73475,90.0,top,U601,TSV911ILT,,TSV911ILT_SOT23-5,TSV911ILT,smt
73.549999,25.76525,90.0,top,U602,TSV911ILT,,TSV911ILT_SOT23-5,TSV911ILT,smt
92.950001,25.76525,90.0,top,U603,TSV911ILT,,TSV911ILT_SOT23-5,TSV911ILT,smt
66.599999,61.775551,90.0,top,U604,ADS131M08IRSNR,,ADS131M08IRSNR-QFN40,ADS131M08IRSNR,smt
181.1355,45.974999,0.0,top,U701,ADM2565EBRNZ,,ADM2565EBRNZ-SOIC-28,ADM2565EBRNZ,smt
130.35,30.775,180.0,top,U702,EMIF06-MSD02N16,,EMIF06-MSD02N16,EMIF06-MSD02N16,smt
121.7,98.9,0.0,top,U801,LAN8742A-CZ-TR,,LAN8742A-CZ-TR_QFN50,LAN8742A-CZ-TR,smt
96.25,51.25,0.0,top,U901,MX52LM04A11XSI,,MX52LM04A11XSI_BGA153,MX52LM04A11XSI,smt
145.1,72.3,180.0,top,Y401,NX3225SA-25.000M-STD-CSR-6,,NX3225SA25000MSTDCSR6,Crystal_GND24,smt
143.5,61.75,-90.0,top,Y402,NX3215SA-32.768K-STD-MUA-14,,Crystal_SMD_3215-2Pin_3.2x1.5mm,32.768KHz,smt
113.85,95.75,0.0,top,Y801,NX3225SA-25.000M-STD-CSR-6,,NX3225SA25000MSTDCSR6,Crystal_GND24,smt
